Date,Ticker,Company,Sector,Open,High,Low,Close,Adj Close,Volume
2021-01-04,AAPL,Apple,Technology,133.52000427246094,133.61000061035156,126.76000213623048,129.41000366210938,125.74082946777344,143301900
2021-01-05,AAPL,Apple,Technology,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,127.29549407958984,97664900
2021-01-06,AAPL,Apple,Technology,127.72000122070312,131.0500030517578,126.37999725341795,126.5999984741211,123.0105209350586,155088000
2021-01-07,AAPL,Apple,Technology,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,127.20802307128906,109578200
2021-01-08,AAPL,Apple,Technology,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,128.3059844970703,105158200
2021-01-11,AAPL,Apple,Technology,129.19000244140625,130.1699981689453,128.5,128.97999572753906,125.32303619384766,100384500
2021-01-12,AAPL,Apple,Technology,128.5,129.69000244140625,126.86000061035156,128.8000030517578,125.14816284179688,91951100
2021-01-13,AAPL,Apple,Technology,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,127.17889404296876,88636800
2021-01-14,AAPL,Apple,Technology,130.8000030517578,131.0,128.75999450683594,128.91000366210938,125.25504302978516,90221800
2021-01-15,AAPL,Apple,Technology,128.77999877929688,130.22000122070312,127.0,127.13999938964844,123.5352020263672,111598500
2021-01-19,AAPL,Apple,Technology,127.77999877929688,128.7100067138672,126.94000244140624,127.83000183105467,124.2056655883789,90757300
2021-01-20,AAPL,Apple,Technology,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,128.2865753173828,104319500
2021-01-21,AAPL,Apple,Technology,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,132.9893035888672,120150900
2021-01-22,AAPL,Apple,Technology,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,135.126953125,114459400
2021-01-25,AAPL,Apple,Technology,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,138.8677978515625,157611700
2021-01-26,AAPL,Apple,Technology,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,139.1009979248047,98390600
2021-01-27,AAPL,Apple,Technology,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,138.0321807861328,140843800
2021-01-28,AAPL,Apple,Technology,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,133.20309448242188,142621100
2021-01-29,AAPL,Apple,Technology,135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,128.21853637695312,177523800
2021-02-01,AAPL,Apple,Technology,133.75,135.3800048828125,130.92999267578125,134.13999938964844,130.33677673339844,106239800
2021-02-02,AAPL,Apple,Technology,135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406,131.16261291503906,83305400
2021-02-03,AAPL,Apple,Technology,135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625,130.14242553710938,89880900
2021-02-04,AAPL,Apple,Technology,136.3000030517578,137.39999389648438,134.58999633789062,137.38999938964844,133.49461364746094,84183100
2021-02-05,AAPL,Apple,Technology,137.35000610351562,137.4199981689453,135.86000061035156,136.75999450683594,133.08099365234375,75693800
2021-02-08,AAPL,Apple,Technology,136.02999877929688,136.9600067138672,134.9199981689453,136.91000366210938,133.2270050048828,71297200
2021-02-09,AAPL,Apple,Technology,136.6199951171875,137.8800048828125,135.85000610351562,136.00999450683594,132.35118103027344,76774200
2021-02-10,AAPL,Apple,Technology,136.47999572753906,136.99000549316406,134.39999389648438,135.38999938964844,131.74786376953125,73046600
2021-02-11,AAPL,Apple,Technology,135.89999389648438,136.38999938964844,133.77000427246094,135.1300048828125,131.49488830566406,64280000
2021-02-12,AAPL,Apple,Technology,134.35000610351562,135.52999877929688,133.69000244140625,135.3699951171875,131.72837829589844,60145100
2021-02-16,AAPL,Apple,Technology,135.49000549316406,136.00999450683594,132.7899932861328,133.19000244140625,129.60707092285156,80576300
2021-02-17,AAPL,Apple,Technology,131.25,132.22000122070312,129.47000122070312,130.83999633789062,127.32025146484376,97918500
2021-02-18,AAPL,Apple,Technology,129.1999969482422,130.0,127.41000366210938,129.7100067138672,126.22067260742188,96856700
2021-02-19,AAPL,Apple,Technology,130.24000549316406,130.7100067138672,128.8000030517578,129.8699951171875,126.3763656616211,87668800
2021-02-22,AAPL,Apple,Technology,128.00999450683594,129.72000122070312,125.5999984741211,126.0,122.61048126220705,103916400
2021-02-23,AAPL,Apple,Technology,123.76000213623048,126.70999908447266,118.38999938964844,125.86000061035156,122.47425079345705,158273000
2021-02-24,AAPL,Apple,Technology,124.94000244140624,125.55999755859376,122.2300033569336,125.3499984741211,121.97796630859376,111039900
2021-02-25,AAPL,Apple,Technology,124.68000030517578,126.45999908447266,120.54000091552734,120.98999786376952,117.7352523803711,148199500
2021-02-26,AAPL,Apple,Technology,122.58999633789062,124.8499984741211,121.1999969482422,121.26000213623048,117.99798583984376,164560400
2021-03-01,AAPL,Apple,Technology,123.75,127.93000030517578,122.79000091552734,127.79000091552734,124.3523178100586,116307900
2021-03-02,AAPL,Apple,Technology,128.41000366210938,128.72000122070312,125.01000213623048,125.12000274658205,121.754150390625,102260900
2021-03-03,AAPL,Apple,Technology,124.80999755859376,125.70999908447266,121.83999633789062,122.05999755859376,118.77647399902344,112966300
2021-03-04,AAPL,Apple,Technology,121.75,123.5999984741211,118.62000274658205,120.12999725341795,116.89838409423828,178155000
2021-03-05,AAPL,Apple,Technology,120.9800033569336,121.94000244140624,117.56999969482422,121.41999816894533,118.15367889404295,153766600
2021-03-08,AAPL,Apple,Technology,120.93000030517578,121.0,116.20999908447266,116.36000061035156,113.22977447509766,154376600
2021-03-09,AAPL,Apple,Technology,119.02999877929688,122.05999755859376,118.79000091552734,121.08999633789062,117.8325424194336,129525800
2021-03-10,AAPL,Apple,Technology,121.69000244140624,122.16999816894533,119.4499969482422,119.9800033569336,116.75244140625,111943300
2021-03-11,AAPL,Apple,Technology,122.54000091552734,123.20999908447266,121.26000213623048,121.95999908447266,118.6791534423828,103026500
2021-03-12,AAPL,Apple,Technology,120.4000015258789,121.16999816894533,119.16000366210938,121.02999877929688,117.77416229248048,88105100
2021-03-15,AAPL,Apple,Technology,121.41000366210938,124.0,120.41999816894533,123.98999786376952,120.65454864501952,92403800
2021-03-16,AAPL,Apple,Technology,125.6999969482422,127.22000122070312,124.72000122070312,125.56999969482422,122.19203186035156,115227900
2021-03-17,AAPL,Apple,Technology,124.0500030517578,125.86000061035156,122.33999633789062,124.76000213623048,121.40383911132812,111932600
2021-03-18,AAPL,Apple,Technology,122.87999725341795,123.18000030517578,120.31999969482422,120.52999877929688,117.2876205444336,121229700
2021-03-19,AAPL,Apple,Technology,119.9000015258789,121.43000030517578,119.68000030517578,119.98999786376952,116.7621612548828,185549500
2021-03-22,AAPL,Apple,Technology,120.33000183105467,123.87000274658205,120.26000213623048,123.38999938964844,120.0706787109375,111912300
2021-03-23,AAPL,Apple,Technology,123.33000183105467,124.23999786376952,122.13999938964844,122.54000091552734,119.24354553222656,95467100
2021-03-24,AAPL,Apple,Technology,122.81999969482422,122.9000015258789,120.06999969482422,120.08999633789062,116.8594741821289,88530500
2021-03-25,AAPL,Apple,Technology,119.54000091552734,121.66000366210938,119.0,120.58999633789062,117.34602355957033,98844700
2021-03-26,AAPL,Apple,Technology,120.3499984741211,121.4800033569336,118.91999816894533,121.20999908447266,117.94932556152344,94071200
2021-03-29,AAPL,Apple,Technology,121.6500015258789,122.58000183105467,120.7300033569336,121.38999938964844,118.12447357177734,80819200
2021-03-30,AAPL,Apple,Technology,120.11000061035156,120.4000015258789,118.86000061035156,119.9000015258789,116.67457580566406,85671900
2021-03-31,AAPL,Apple,Technology,121.6500015258789,123.5199966430664,121.1500015258789,122.1500015258789,118.8640365600586,118323800
2021-04-01,AAPL,Apple,Technology,123.66000366210938,124.18000030517578,122.48999786376952,123.0,119.6911849975586,75089100
2021-04-05,AAPL,Apple,Technology,123.87000274658205,126.16000366210938,123.06999969482422,125.9000015258789,122.51316833496094,88651200
2021-04-06,AAPL,Apple,Technology,126.5,127.12999725341795,125.6500015258789,126.20999908447266,122.81484985351562,80171300
2021-04-07,AAPL,Apple,Technology,125.83000183105467,127.91999816894533,125.13999938964844,127.9000015258789,124.45935821533205,83466700
2021-04-08,AAPL,Apple,Technology,128.9499969482422,130.38999938964844,128.52000427246094,130.36000061035156,126.85317993164062,88844600
2021-04-09,AAPL,Apple,Technology,129.8000030517578,133.0399932861328,129.47000122070312,133.0,129.42214965820312,106686700
2021-04-12,AAPL,Apple,Technology,132.52000427246094,132.85000610351562,130.6300048828125,131.24000549316406,127.70952606201172,91420000
2021-04-13,AAPL,Apple,Technology,132.44000244140625,134.66000366210938,131.92999267578125,134.42999267578125,130.81370544433594,91266500
2021-04-14,AAPL,Apple,Technology,134.94000244140625,135.0,131.66000366210938,132.02999877929688,128.47824096679688,87222800
2021-04-15,AAPL,Apple,Technology,133.82000732421875,135.0,133.63999938964844,134.5,130.8817901611328,89347100
2021-04-16,AAPL,Apple,Technology,134.3000030517578,134.6699981689453,133.27999877929688,134.16000366210938,130.55099487304688,84922400
2021-04-19,AAPL,Apple,Technology,133.50999450683594,135.47000122070312,133.33999633789062,134.83999633789062,131.21267700195312,94264200
2021-04-20,AAPL,Apple,Technology,135.02000427246094,135.52999877929688,131.80999755859375,133.11000061035156,129.52920532226562,94812300
2021-04-21,AAPL,Apple,Technology,132.36000061035156,133.75,131.3000030517578,133.5,129.90869140625,68847100
2021-04-22,AAPL,Apple,Technology,133.0399932861328,134.14999389648438,131.41000366210938,131.94000244140625,128.39068603515625,84566500
2021-04-23,AAPL,Apple,Technology,132.16000366210938,135.1199951171875,132.16000366210938,134.32000732421875,130.70663452148438,78657500
2021-04-26,AAPL,Apple,Technology,134.8300018310547,135.05999755859375,133.55999755859375,134.72000122070312,131.09591674804688,66905100
2021-04-27,AAPL,Apple,Technology,135.00999450683594,135.41000366210938,134.11000061035156,134.38999938964844,130.77481079101562,66015800
2021-04-28,AAPL,Apple,Technology,134.30999755859375,135.02000427246094,133.0800018310547,133.5800018310547,129.986572265625,107760100
2021-04-29,AAPL,Apple,Technology,136.47000122070312,137.07000732421875,132.4499969482422,133.47999572753906,129.8892822265625,151101000
2021-04-30,AAPL,Apple,Technology,131.77999877929688,133.55999755859375,131.07000732421875,131.4600067138672,127.9236068725586,109839500
2021-05-03,AAPL,Apple,Technology,132.0399932861328,134.07000732421875,131.8300018310547,132.5399932861328,128.97454833984375,75135100
2021-05-04,AAPL,Apple,Technology,131.19000244140625,131.49000549316406,126.6999969482422,127.8499984741211,124.41069793701172,137564700
2021-05-05,AAPL,Apple,Technology,129.1999969482422,130.4499969482422,127.97000122070312,128.10000610351562,124.6540069580078,84000900
2021-05-06,AAPL,Apple,Technology,127.88999938964844,129.75,127.12999725341795,129.74000549316406,126.2498779296875,78128300
2021-05-07,AAPL,Apple,Technology,130.85000610351562,131.25999450683594,129.47999572753906,130.2100067138672,126.92243957519533,78973300
2021-05-10,AAPL,Apple,Technology,129.41000366210938,129.5399932861328,126.80999755859376,126.8499984741211,123.64727020263672,88071200
2021-05-11,AAPL,Apple,Technology,123.5,126.2699966430664,122.7699966430664,125.91000366210938,122.73101806640624,126142800
2021-05-12,AAPL,Apple,Technology,123.4000015258789,124.63999938964844,122.25,122.7699966430664,119.67029571533205,112172300
2021-05-13,AAPL,Apple,Technology,124.58000183105467,126.1500015258789,124.26000213623048,124.97000122070312,121.81472778320312,105861300
2021-05-14,AAPL,Apple,Technology,126.25,127.88999938964844,125.8499984741211,127.4499969482422,124.23213958740234,81918000
2021-05-17,AAPL,Apple,Technology,126.81999969482422,126.93000030517578,125.16999816894533,126.2699966430664,123.08192443847656,74244600
2021-05-18,AAPL,Apple,Technology,126.55999755859376,126.98999786376952,124.77999877929688,124.8499984741211,121.6977767944336,63342900
2021-05-19,AAPL,Apple,Technology,123.16000366210938,124.91999816894533,122.86000061035156,124.69000244140624,121.54180908203124,92612000
2021-05-20,AAPL,Apple,Technology,125.2300033569336,127.72000122070312,125.0999984741211,127.30999755859376,124.09564971923828,76857100
2021-05-21,AAPL,Apple,Technology,127.81999969482422,128.0,125.20999908447266,125.43000030517578,122.2631378173828,79295400
2021-05-24,AAPL,Apple,Technology,126.01000213623048,127.94000244140624,125.94000244140624,127.0999984741211,123.8909683227539,63092900
2021-05-25,AAPL,Apple,Technology,127.81999969482422,128.32000732421875,126.31999969482422,126.9000015258789,123.6960220336914,72009500
2021-05-26,AAPL,Apple,Technology,126.95999908447266,127.38999938964844,126.41999816894533,126.8499984741211,123.64727020263672,56575900
2021-05-27,AAPL,Apple,Technology,126.44000244140624,127.63999938964844,125.08000183105467,125.27999877929688,122.11692810058594,94625600
2021-05-28,AAPL,Apple,Technology,125.56999969482422,125.8000030517578,124.5500030517578,124.61000061035156,121.4638442993164,71311100
2021-06-01,AAPL,Apple,Technology,125.08000183105467,125.3499984741211,123.94000244140624,124.27999877929688,121.14215850830078,67637100
2021-06-02,AAPL,Apple,Technology,124.27999877929688,125.23999786376952,124.0500030517578,125.05999755859376,121.90247344970705,59278900
2021-06-03,AAPL,Apple,Technology,124.68000030517578,124.8499984741211,123.12999725341795,123.54000091552734,120.42083740234376,76229200
2021-06-04,AAPL,Apple,Technology,124.06999969482422,126.16000366210938,123.8499984741211,125.88999938964844,122.71151733398438,75169300
2021-06-07,AAPL,Apple,Technology,126.16999816894533,126.31999969482422,124.83000183105467,125.9000015258789,122.72126770019533,71057600
2021-06-08,AAPL,Apple,Technology,126.5999984741211,128.4600067138672,126.20999908447266,126.73999786376952,123.5400390625,74403800
2021-06-09,AAPL,Apple,Technology,127.20999908447266,127.75,126.5199966430664,127.12999725341795,123.9202117919922,56877900
2021-06-10,AAPL,Apple,Technology,127.0199966430664,128.19000244140625,125.94000244140624,126.11000061035156,122.92596435546876,71186400
2021-06-11,AAPL,Apple,Technology,126.52999877929688,127.44000244140624,126.0999984741211,127.3499984741211,124.13465881347656,53522400
2021-06-14,AAPL,Apple,Technology,127.81999969482422,130.5399932861328,127.06999969482422,130.47999572753906,127.18560791015624,96906500
2021-06-15,AAPL,Apple,Technology,129.94000244140625,130.60000610351562,129.38999938964844,129.63999938964844,126.3668212890625,62746300
2021-06-16,AAPL,Apple,Technology,130.3699951171875,130.88999938964844,128.4600067138672,130.14999389648438,126.86395263671876,91815000
2021-06-17,AAPL,Apple,Technology,129.8000030517578,132.5500030517578,129.64999389648438,131.7899932861328,128.4625701904297,96721700
2021-06-18,AAPL,Apple,Technology,130.7100067138672,131.50999450683594,130.24000549316406,130.4600067138672,127.16615295410156,108953300
2021-06-21,AAPL,Apple,Technology,130.3000030517578,132.41000366210938,129.2100067138672,132.3000030517578,128.9596710205078,79663300
2021-06-22,AAPL,Apple,Technology,132.1300048828125,134.0800018310547,131.6199951171875,133.97999572753906,130.59722900390625,74783600
2021-06-23,AAPL,Apple,Technology,133.77000427246094,134.32000732421875,133.22999572753906,133.6999969482422,130.32432556152344,60214200
2021-06-24,AAPL,Apple,Technology,134.4499969482422,134.63999938964844,132.92999267578125,133.41000366210938,130.04164123535156,68711000
2021-06-25,AAPL,Apple,Technology,133.4600067138672,133.88999938964844,132.80999755859375,133.11000061035156,129.74920654296875,70783700
2021-06-28,AAPL,Apple,Technology,133.41000366210938,135.25,133.35000610351562,134.77999877929688,131.3770751953125,62111300
2021-06-29,AAPL,Apple,Technology,134.8000030517578,136.49000549316406,134.35000610351562,136.3300018310547,132.887939453125,64556100
2021-06-30,AAPL,Apple,Technology,136.1699981689453,137.41000366210938,135.8699951171875,136.9600067138672,133.50204467773438,63261400
2021-07-01,AAPL,Apple,Technology,136.60000610351562,137.3300018310547,135.75999450683594,137.27000427246094,133.80422973632812,52485800
2021-07-02,AAPL,Apple,Technology,137.89999389648438,140.0,137.75,139.9600067138672,136.42630004882812,78852600
2021-07-06,AAPL,Apple,Technology,140.07000732421875,143.14999389648438,140.07000732421875,142.02000427246094,138.4342498779297,108181800
2021-07-07,AAPL,Apple,Technology,143.5399932861328,144.88999938964844,142.66000366210938,144.57000732421875,140.9198760986328,104911600
2021-07-08,AAPL,Apple,Technology,141.5800018310547,144.05999755859375,140.6699981689453,143.24000549316406,139.62344360351562,105575500
2021-07-09,AAPL,Apple,Technology,142.75,145.64999389648438,142.64999389648438,145.11000061035156,141.44627380371094,99890800
