Date,Ticker,Company,Sector,Open,High,Low,Close,Adj Close,Volume,Daily Return,MA_20,MA_50,Volatility_20,Year,Month,Month Name,Quarter
2021-01-04,AAPL,Apple,Technology,133.52000427246094,133.61000061035156,126.76000213623048,129.41000366210938,125.74082946777344,143301900,,,,,2021,1,January,1
2021-01-05,AAPL,Apple,Technology,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,127.29549407958984,97664900,0.012364039734721555,,,,2021,1,January,1
2021-01-06,AAPL,Apple,Technology,127.72000122070312,131.0500030517578,126.37999725341795,126.5999984741211,123.0105209350586,155088000,-0.03366162467504252,,,,2021,1,January,1
2021-01-07,AAPL,Apple,Technology,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,127.20802307128906,109578200,0.03412311487117825,,,,2021,1,January,1
2021-01-08,AAPL,Apple,Technology,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,128.3059844970703,105158200,0.008631227805230068,,,,2021,1,January,1
2021-01-11,AAPL,Apple,Technology,129.19000244140625,130.1699981689453,128.5,128.97999572753906,125.32303619384766,100384500,-0.023248707493380927,,,,2021,1,January,1
2021-01-12,AAPL,Apple,Technology,128.5,129.69000244140625,126.86000061035156,128.8000030517578,125.14816284179688,91951100,-0.0013953807485185266,,,,2021,1,January,1
2021-01-13,AAPL,Apple,Technology,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,127.17889404296876,88636800,0.016226616156874707,,,,2021,1,January,1
2021-01-14,AAPL,Apple,Technology,130.8000030517578,131.0,128.75999450683594,128.91000366210938,125.25504302978516,90221800,-0.015127124887039933,,,,2021,1,January,1
2021-01-15,AAPL,Apple,Technology,128.77999877929688,130.22000122070312,127.0,127.13999938964844,123.5352020263672,111598500,-0.013730712646907062,,,,2021,1,January,1
2021-01-19,AAPL,Apple,Technology,127.77999877929688,128.7100067138672,126.94000244140624,127.83000183105467,124.2056655883789,90757300,0.005427307771501466,,,,2021,1,January,1
2021-01-20,AAPL,Apple,Technology,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,128.2865753173828,104319500,0.03285606747222114,,,,2021,1,January,1
2021-01-21,AAPL,Apple,Technology,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,132.9893035888672,120150900,0.03665799215428245,,,,2021,1,January,1
2021-01-22,AAPL,Apple,Technology,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,135.126953125,114459400,0.016073845628527428,,,,2021,1,January,1
2021-01-25,AAPL,Apple,Technology,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,138.8677978515625,157611700,0.027683927151839205,,,,2021,1,January,1
2021-01-26,AAPL,Apple,Technology,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,139.1009979248047,98390600,0.001679295537554859,,,,2021,1,January,1
2021-01-27,AAPL,Apple,Technology,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,138.0321807861328,140843800,-0.007683748891935793,,,,2021,1,January,1
2021-01-28,AAPL,Apple,Technology,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,133.20309448242188,142621100,-0.034985220665267436,,,,2021,1,January,1
2021-01-29,AAPL,Apple,Technology,135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,128.21853637695312,177523800,-0.03742073804544033,,,,2021,1,January,1
2021-02-01,AAPL,Apple,Technology,133.75,135.3800048828125,130.92999267578125,134.13999938964844,130.33677673339844,106239800,0.01652054699967742,129.31845359802247,,,2021,2,February,1
2021-02-02,AAPL,Apple,Technology,135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406,131.16261291503906,83305400,0.006336171588237516,129.58954277038575,,0.023070543012756174,2021,2,February,1
2021-02-03,AAPL,Apple,Technology,135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625,130.14242553710938,89880900,-0.007778034877900075,129.7318893432617,,0.023050766076254236,2021,2,February,1
2021-02-04,AAPL,Apple,Technology,136.3000030517578,137.39999389648438,134.58999633789062,137.38999938964844,133.49461364746094,84183100,0.025757842582976087,130.25609397888184,,0.022109435456899813,2021,2,February,1
2021-02-05,AAPL,Apple,Technology,137.35000610351562,137.4199981689453,135.86000061035156,136.75999450683594,133.08099365234375,75693800,-0.0030984021288641417,130.54974250793458,,0.0210087838082019,2021,2,February,1
2021-02-08,AAPL,Apple,Technology,136.02999877929688,136.9600067138672,134.9199981689453,136.91000366210938,133.2270050048828,71297200,0.0010971615745558605,130.7957935333252,,0.020959966620133125,2021,2,February,1
2021-02-09,AAPL,Apple,Technology,136.6199951171875,137.8800048828125,135.85000610351562,136.00999450683594,132.35118103027344,76774200,-0.006573922265814436,131.14720077514647,,0.020217389113590205,2021,2,February,1
2021-02-10,AAPL,Apple,Technology,136.47999572753906,136.99000549316406,134.39999389648438,135.38999938964844,131.74786376953125,73046600,-0.004558457703556007,131.4771858215332,,0.020265289556452907,2021,2,February,1
2021-02-11,AAPL,Apple,Technology,135.89999389648438,136.38999938964844,133.77000427246094,135.1300048828125,131.49488830566406,64280000,-0.0019201485066180357,131.69298553466797,,0.020035937630679602,2021,2,February,1
2021-02-12,AAPL,Apple,Technology,134.35000610351562,135.52999877929688,133.69000244140625,135.3699951171875,131.72837829589844,60145100,0.0017756583030941187,132.01665229797362,,0.019634118487755203,2021,2,February,1
2021-02-16,AAPL,Apple,Technology,135.49000549316406,136.00999450683594,132.7899932861328,133.19000244140625,129.60707092285156,80576300,-0.01610364752446758,132.32024574279785,,0.019745523805211405,2021,2,February,1
2021-02-17,AAPL,Apple,Technology,131.25,132.22000122070312,129.47000122070312,130.83999633789062,127.32025146484376,97918500,-0.017644249204343376,132.4759750366211,,0.020238652209313118,2021,2,February,1
2021-02-18,AAPL,Apple,Technology,129.1999969482422,130.0,127.41000366210938,129.7100067138672,126.22067260742188,96856700,-0.008636323324616613,132.37267990112304,,0.01893257918648542,2021,2,February,1
2021-02-19,AAPL,Apple,Technology,130.24000549316406,130.7100067138672,128.8000030517578,129.8699951171875,126.3763656616211,87668800,0.0012334988475577457,132.04203300476075,,0.01679592859886692,2021,2,February,1
2021-02-22,AAPL,Apple,Technology,128.00999450683594,129.72000122070312,125.5999984741211,126.0,122.61048126220705,103916400,-0.02979896106125879,131.41620941162108,,0.017264264699384333,2021,2,February,1
2021-02-23,AAPL,Apple,Technology,123.76000213623048,126.70999908447266,118.38999938964844,125.86000061035156,122.47425079345705,158273000,-0.0011110833865717318,130.5965320587158,,0.015535031319377238,2021,2,February,1
2021-02-24,AAPL,Apple,Technology,124.94000244140624,125.55999755859376,122.2300033569336,125.3499984741211,121.97796630859376,111039900,-0.004052153670245584,129.74038047790526,,0.015435634402633198,2021,2,February,1
2021-02-25,AAPL,Apple,Technology,124.68000030517578,126.45999908447266,120.54000091552734,120.98999786376952,117.7352523803711,148199500,-0.03478262555623335,128.72553405761718,,0.016689706258375913,2021,2,February,1
2021-02-26,AAPL,Apple,Technology,122.58999633789062,124.8499984741211,121.1999969482422,121.26000213623048,117.99798583984376,164560400,0.002231561526057302,127.96527862548828,,0.015532250017172776,2021,2,February,1
2021-03-01,AAPL,Apple,Technology,123.75,127.93000030517578,122.79000091552734,127.79000091552734,124.3523178100586,116307900,0.05385119012827411,127.77196769714355,,0.01884659436963498,2021,3,March,1
2021-03-02,AAPL,Apple,Technology,128.41000366210938,128.72000122070312,125.01000213623048,125.12000274658205,121.754150390625,102260900,-0.020893598649300182,127.34283638000488,,0.018834935930228378,2021,3,March,1
2021-03-03,AAPL,Apple,Technology,124.80999755859376,125.70999908447266,121.83999633789062,122.05999755859376,118.77647399902344,112966300,-0.024456467250177916,126.7235294342041,,0.019265147642153188,2021,3,March,1
